provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
"GENERATIONS OF RED BAY, LLC",AL,35582,For profit - Corporation,90,57.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,3,1.7101,1.3505,3.0606,0.37612,1,0,0,0,1,0,1
MCGUFFEY HEALTH & REHABILITATION CENTER,AL,35999,For profit - Corporation,209,149.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,2,2.44258,1.16467,3.60725,0.15852,0,0,0,1,1,0,1
ATTALLA HEALTH AND REHAB,AL,35954,For profit - Corporation,182,90.7,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,1,1,3,4,2.55398,1.7353,4.28927,0.64158,1,0,0,1,3,0,3
GOODWATER HEALTHCARE CENTER,AL,35072,For profit - Corporation,72,60.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,2.01953,1.292,3.31153,0.3034,2,0,0,0,0,0,0
DECATUR HEALTH & REHAB CENTER,AL,35603,For profit - Limited Liability company,119,59.4,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,4,3,3.18304,1.03508,4.21812,0.28514,,0,2,1,0,0,0
COLLINSVILLE HEALTHCARE & REHAB,AL,35961,For profit - Corporation,200,154.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,3,5,3,2.19997,1.3376,3.53757,0.58132,2,0,0,1,1,0,1
"OZARK HEALTH AND REHABILITATION, LLC",AL,36360,For profit - Corporation,149,142.2,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,3,3,2.52444,1.21202,3.73646,0.1895,,0,1,0,0,0,0
DIVERSICARE OF BESSEMER,AL,35020,For profit - Corporation,180,140.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,3,2.18911,1.25547,3.44459,0.18311,0,1,3,0,1,0,1
"OPP HEALTH AND REHABILITATION, LLC",AL,36467,For profit - Corporation,197,152.4,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,2,4,2.92631,1.19536,4.12168,0.25362,,0,0,0,0,0,0
TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,AL,36617,For profit - Corporation,131,113.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,2,1.96492,1.40659,3.37151,0.24508,,0,0,0,0,0,0
SELF SKILLED NURSING & REHAB,AL,35023,For profit - Corporation,131,74.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,4,2.46458,1.74664,4.21122,0.32832,0,0,0,2,2,1,3
TROY HEALTH & REHABILITATION CENTER,AL,36079,For profit - Corporation,220,107.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,2,5,2.71857,1.49182,4.2104,0.13044,0,0,0,0,1,0,1
MADISON MANOR NURSING HOME,AL,35758,For profit - Corporation,80,70.3,Medicare and Medicaid,N,N,,N,Y,None,Yes,3,3,3,4,2.63025,1.41011,4.04037,0.20724,0,0,0,1,0,0,0
BIBB MEDICAL CENTER NURSING HOME,AL,35042,Government - County,131,109.4,Medicare and Medicaid,Y,Y,,N,Y,Resident,Yes,4,3,4,5,2.58285,1.28845,3.8713,0.24418,0,0,0,0,0,0,0
OAKVIEW MANOR HEALTH CARE CENTER,AL,36360,Non profit - Corporation,138,92.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,3,4,2.03539,1.35763,3.39302,0.15875,0,0,0,0,1,0,1
BIRMINGHAM NURSING AND REHABILITATION CTR LLC,AL,35214,For profit - Individual,132,112.2,Medicare and Medicaid,N,N,SFF,N,N,Resident,Yes,,,,,1.26199,1.20013,2.46212,0.17864,0,1,0,0,1,0,1
CROWNE HEALTH CARE OF THOMASVILLE,AL,36784,For profit - Corporation,80,70.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,2,4,2.44122,1.7737,4.21492,0.19161,0,0,0,0,1,0,1
"CHAPMAN HEALTHCARE CENTER, INC",AL,35010,For profit - Corporation,188,141,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,2,5,2.6376,1.22088,3.85847,0.41987,,0,0,2,1,0,1
FAIRHOPE HEALTH & REHAB,AL,36532,Non profit - Corporation,131,58.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,3,2.08204,1.32429,3.40633,0.37969,1,1,0,0,1,0,1
NORTHSIDE HEALTH CARE,AL,35901,For profit - Corporation,115,90.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,4,2,1.87611,1.3154,3.19151,0.30486,2,0,1,2,0,0,0
BARFIELD HEALTH CARE,AL,35976,For profit - Corporation,113,109.8,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,5,2,2,2.51528,1.1854,3.70068,0.27348,,1,0,0,0,0,0
"GENERATIONS OF VERNON, LLC",AL,35592,For profit - Corporation,158,98.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,4,5,2.23539,1.56787,3.80326,0.57075,0,0,0,1,2,0,2
"MONTGOMERY HEALTH AND REHAB, LLC",AL,36116,For profit - Individual,121,111.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,1,1.72399,0.78419,2.50817,0.16768,2,0,7,0,2,0,2
WEST HILL HEALTH AND REHAB,AL,35228,For profit - Individual,163,65.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,2,1,1,,,,,,0,0,0,1,0,1
"RIDGEWOOD HEALTH SERVICES, INC.",AL,35504,For profit - Individual,98,72.2,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,4,5,2,1.33717,1.16702,2.50419,0.31413,0,1,0,0,2,0,2
ENTERPRISE HEALTH & REHABILITATION CENTER,AL,36331,For profit - Corporation,257,128.7,Medicare and Medicaid,N,N,,N,Y,Both,Yes,2,2,4,4,3.3159,1.90569,5.2216,0.21708,0,0,0,0,0,0,0
"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",AL,35226,For profit - Individual,101,93.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,4,1,,,,,,0,0,0,0,0,0
ENGLEWOOD HEALTH CARE CENTER,AL,36460,For profit - Corporation,87,72.2,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,3,4,2.89013,2.22558,5.11571,0.24315,2,1,0,0,1,0,1
"PARK MANOR HEALTH AND REHABILITATION, LLC",AL,35476,For profit - Limited Liability company,152,131.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,,,,,,0,0,0,0,0,0
MARENGO NURSING HOME,AL,36748,Non profit - Other,78,53.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,4,5,3.20797,1.59783,4.8058,0.53888,0,0,0,0,0,0,0
N/A,AL,36867,For profit - Corporation,86,77.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,5,1,1.89665,1.12806,3.02471,0.10722,0,0,0,0,2,0,2
"LUVERNE HEALTH AND REHABILITATION, LLC",AL,36049,For profit - Corporation,151,143.8,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,3,3,2.57525,1.18269,3.75795,0.15123,,0,0,0,0,0,0
LAUDERDALE CHRISTIAN NURSING HOME,AL,35645,Non profit - Corporation,58,57.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,4,5,4,2.43146,1.46856,3.90003,0.23144,0,0,0,1,0,0,0
OAKS ON PARKWOOD SKILLED NURSING FACILITY,AL,35022,Non profit - Corporation,130,91.5,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,1,1,2,1,1.60062,1.12386,2.72448,0.40516,0,0,9,0,1,0,1
HERITAGE HEALTH CARE & REHAB INC,AL,35406,For profit - Corporation,216,131.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,4,2.58316,1.41401,3.99717,0.15336,0,0,0,1,2,0,2
REGENCY HEALTH CARE AND REHABILITATION CENTER,AL,35810,For profit - Corporation,90,86.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,4,3,2.55017,1.6959,4.24607,0.15748,0,0,0,2,2,0,2
HENRY COUNTY HEALTH AND REHABILITATION FACILITY,AL,36310,Government - County,142,68.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,3,5,3.27094,2.054,5.32493,0.44519,0,0,0,0,0,0,0
CAMDEN NURSING FACILITY INC.,AL,36726,For profit - Corporation,95,49.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,2,2.0248,1.30194,3.32674,0.17014,,0,0,0,1,0,1
ANNISTON HEALTH AND REHAB SERVICES,AL,36207,Non profit - Other,85,73,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,2,1.8374,0.91301,2.75041,0.36514,0,0,0,0,1,0,1
DIVERSICARE OF WINFIELD,AL,35594,For profit - Corporation,123,109.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,2,1.73593,0.95343,2.68936,0.20187,0,1,0,0,0,0,0
MARSHALL MANOR NURSING HOME,AL,35976,For profit - Corporation,91,71.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,5,3,4,2.91963,1.4447,4.36433,0.25838,0,0,0,0,0,0,0
MOBILE NURSING AND REHABILITATION CENTER,AL,36695,For profit - Partnership,120,95,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,2,3,1.89768,1.57875,3.47643,0.39274,2,1,0,2,0,0,0
WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,AL,36527,Non profit - Corporation,60,27,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,3,2,2,5,2.82103,2.03111,4.85215,0.67265,0,0,0,0,1,0,1
CANTERBURY HEALTH CARE FACILITY,AL,36869,For profit - Corporation,137,122.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,3,2.04079,1.23276,3.27355,0.1276,0,1,0,0,1,0,1
WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,AL,35055,For profit - Corporation,149,102.6,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,4,3,1,,,,,,0,1,0,1,0,1
ADAMS NURSING HOME,AL,35010,For profit - Limited Liability company,88,41.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,5,2,1,3.9139,0.90951,4.82341,0.14381,0,0,0,0,0,0,0
EAST GLEN,AL,35235,Non profit - Corporation,108,79.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,2,1,3,2.31534,1.17105,3.48639,0.24,0,0,0,0,0,0,0
CAPITOL HILL HEALTHCARE CENTER,AL,36104,For profit - Corporation,284,202.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,2.51821,1.25211,3.77032,0.2041,0,0,0,0,0,0,0
"JACKSONVILLE HEALTH AND REHABILITATION, LLC",AL,36265,For profit - Corporation,167,151.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,2,5,3,3.04286,1.211,4.25385,0.12715,,0,0,0,0,0,0
CYPRESS COVE CARE CENTER,AL,35661,For profit - Corporation,90,76.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,3,3,1.49737,1.42007,2.91744,0.58499,0,0,0,2,0,0,0
CROWNE HEALTH CARE OF MONTGOMERY,AL,36107,For profit - Corporation,185,147.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,4,2.46178,1.72169,4.18348,0.22926,1,1,0,0,1,0,1
COLONIAL HAVEN CARE & REHABILITATION CENTER,AL,36744,For profit - Corporation,97,69.5,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,4,5,2,1.83778,1.21675,3.05452,0.22854,2,0,0,0,5,0,5
WINDSOR HOUSE,AL,35805,For profit - Corporation,117,93.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,1,1.48202,1.08001,2.56203,0.148,0,0,1,3,1,0,1
MONROE MANOR HEALTH & REHABILITATION CENTER,AL,36460,For profit - Corporation,84,70,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,3,4,2.29198,1.9008,4.19278,0.35083,0,0,0,0,0,0,0
MEADOWVIEW NURSING CENTER,AL,35128,For profit - Corporation,59,55.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,2.16949,1.62136,3.79085,0.23923,,0,0,0,0,0,0
EL REPOSO NURSING FACILITY,AL,35634,Non profit - Church related,60,59.4,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,5,4,4,2.84881,1.17964,4.02845,0.55898,0,0,0,0,0,0,0
"PALM GARDENS HEALTH AND REHABILITATION, LLC",AL,36607,For profit - Corporation,100,86.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,2,1,,,,,,2,0,0,0,0,0
BARON HOUSE OF HUEYTOWN,AL,35023,For profit - Corporation,50,32.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,4,4,1.87483,1.23613,3.11096,0.37414,0,0,0,1,0,0,0
"GRAND BAY CONVALESCENT HOME, INC.",AL,36541,For profit - Individual,92,73,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,2.21041,0.96935,3.17976,0.19408,4,0,0,0,4,0,4
HEALTH CARE INC,AL,35953,For profit - Individual,53,22.9,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,2,1,1.21802,0.37487,1.59289,0,,0,1,0,6,0,6
"WALKER REHABILITATION CENTER, INC",AL,35549,For profit - Corporation,59,50.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,2,1,3,2.05623,1.76402,3.82025,0.24464,0,0,1,0,3,0,3
EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI,AL,36802,Non profit - Other,26,13.7,Medicare,Y,N,,N,N,None,Yes,5,4,5,5,4.48317,4.15178,8.63495,1.11603,2,0,0,0,0,0,0
SHELBY RIDGE NURSING HOME,AL,35007,For profit - Corporation,131,125.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,4,3.35338,1.75107,5.10444,0.23601,0,0,0,0,1,0,1
LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,AL,36703,For profit - Corporation,68,46.8,Medicare and Medicaid,N,N,,Y,Y,Both,Yes,1,1,1,4,2.55521,2.17946,4.73467,0.19654,,0,0,0,1,0,1
LAFAYETTE NURSING HOME,AL,36862,For profit - Individual,63,50.8,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,1,5,3,0.87805,1.32103,2.19909,0.25644,0,0,0,0,1,0,1
ANDALUSIA MANOR,AL,36420,For profit - Corporation,154,85.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,2,3,5,2.52131,1.88751,4.40881,0.56479,,0,0,0,0,0,0
OAKWOOD-NORTH BALDWIN'S CENTER FOR LIVING,AL,36507,Non profit - Corporation,75,69.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,1,5,2.63951,1.67221,4.31173,0.33266,0,0,0,0,0,0,0
HARTFORD HEALTH CARE,AL,36344,For profit - Corporation,86,78.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,2,1.57306,1.03836,2.61142,0.20036,0,0,0,0,1,0,1
CUMBERLAND HEALTH AND REHAB,AL,35740,Non profit - Corporation,100,65.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,2,2,5,2.29334,2.1502,4.44354,0.49629,,0,0,0,4,0,4
TLC NURSING CENTER,AL,35121,For profit - Corporation,103,95.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,3,5,4,2.26316,1.55025,3.81341,0.27155,,0,0,0,0,0,0
BROOKDALE UNIVERSITY PARK SNF (AL),AL,35209,For profit - Limited Liability company,66,58.8,Medicare,N,Y,,N,Y,None,Yes,2,2,3,2,2.42996,1.7295,4.15946,0.26246,2,0,0,0,0,0,0
ROANOKE REHABILITATION & HEALTHCARE CENTER,AL,36274,For profit - Corporation,65,55,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,4,3,1.69846,1.21787,2.91633,0.38106,1,0,0,1,1,1,2
WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,AL,36303,For profit - Corporation,165,149.2,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,4,5,4,2.62775,1.72413,4.35188,0.15213,,0,0,0,1,0,1
CROWNE HEALTH CARE OF SPRINGHILL,AL,36608,For profit - Corporation,46,43.5,Medicare and Medicaid,N,N,,N,Y,None,Yes,4,4,3,4,2.56496,2.06223,4.6272,0.64558,0,1,0,0,0,0,0
KENSINGTON HEALTH AND REHABILITATION,AL,36603,For profit - Partnership,120,108.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,2,2.09523,1.38191,3.47715,0.18251,0,0,0,0,1,0,1
"VALLEY VIEW HEALTH AND REHABILITATION, LLC",AL,35757,For profit - Corporation,155,129,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,4,2.6875,1.57112,4.25862,0.2816,,0,1,4,2,0,2
ST MARTIN'S IN THE PINES,AL,35210,Non profit - Church related,128,62.2,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,3,2,3,5,3.74213,1.55748,5.29961,0.58315,,0,1,1,3,0,3
LYNWOOD NURSING HOME,AL,36693,For profit - Individual,127,109.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,2,2.00867,1.059,3.06767,0.21217,3,1,0,0,0,0,0
SPRINGHILL SENIOR RESIDENCE,AL,36608,For profit - Corporation,151,64.1,Medicare and Medicaid,N,N,,N,Y,Both,Yes,4,4,3,4,2.26053,2.04033,4.30085,0.16281,,0,0,0,0,0,0
HILLVIEW TERRACE,AL,36109,For profit - Corporation,143,136.6,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,2,5,4,2.92571,1.64144,4.56715,0.39446,0,0,0,0,0,0,0
"FOLSOM CENTER FOR REHABILITATION AND HEALTHCARE, T",AL,35055,For profit - Corporation,102,86,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,2,4,2.72004,1.46549,4.18552,0.30819,0,0,0,0,0,0,0
"HUNTSVILLE HEALTH & REHABILITATION, LLC",AL,35802,For profit - Corporation,105,103.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,4,2,1.93085,1.27866,3.20951,0.15904,,0,0,1,1,0,1
ORCHARD REHABILITATION & HEALTHCARE CENTER,AL,36040,For profit - Corporation,72,51.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,4,2.26776,1.43972,3.70747,0.49516,,0,0,0,1,0,1
ROBERTSDALE REHABILITATION & HEALTHCARE CTR,AL,36567,For profit - Corporation,152,118.4,Medicare and Medicaid,N,N,,N,Y,Both,Yes,1,1,3,3,2.49517,1.78263,4.27781,0.45713,,0,1,2,1,0,1
CHERRY HILL REHABILITATION & HEALTHCARE CENTER,AL,35214,For profit - Corporation,117,98.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,1,1,1.83795,0.92192,2.75987,0.26117,,0,2,0,1,0,1
GREENBRIAR AT THE ALTAMONT SKILLED NURSING FACILIT,AL,35205,Non profit - Corporation,95,83.2,Medicare and Medicaid,N,Y,,N,N,Both,Yes,3,3,2,3,2.05699,1.40235,3.45934,0.42989,0,0,0,0,1,0,1
MONTROSE BAY HEALTH AND REHAB,AL,36532,For profit - Corporation,83,63.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,3,1,,,,,,0,0,0,10,0,10
SOUTH HAMPTON NURSING & REHABILITATION CENTER,AL,35763,For profit - Corporation,81,69.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,3,5,3,1.66118,1.51618,3.17736,0.37827,,0,0,0,0,0,0
WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,AL,35802,Non profit - Corporation,59,27.8,Medicare,N,Y,,N,N,Resident,Yes,3,3,4,4,2.20543,1.7769,3.98233,0.74888,0,1,0,0,2,1,3
FLORALA HEALTH AND REHABILITATION LLC,AL,36442,For profit - Corporation,85,74.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,4,2.57049,1.40629,3.97678,0.3255,,0,0,2,1,1,2
OAK PARK,AL,36830,Non profit - Corporation,87,65.6,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,1,1,2,4,2.17001,1.27733,3.44734,0.16571,1,0,0,0,0,0,0
"COLUMBIANA HEALTH AND REHABILITATION, LLC",AL,35051,For profit - Corporation,63,57.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,4,2.54542,1.42821,3.97363,0.26454,,0,0,0,0,0,0
FAIRVIEW AT REDSTONE VILLAGE,AL,35803,For profit - Individual,56,52.5,Medicare,N,Y,,N,N,Resident,Yes,4,4,3,4,2.83665,1.60586,4.44251,0.39831,,2,0,0,0,0,0
ELITE NURSING AND REHABILITATION CARE CENTER,AL,35209,For profit - Partnership,143,125.5,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,2,1,5,2,2.19278,0.81157,3.00434,0.22234,2,1,1,0,4,0,4
"GULF COAST HEALTH AND REHABILITATION, LLC",AL,36695,For profit - Corporation,100,88.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,3,4,2.63872,1.68659,4.32531,0.22009,,0,0,0,0,0,0
KIRKWOOD BY THE RIVER,AL,35210,Non profit - Corporation,61,42.9,Medicare,N,Y,,N,N,Resident,Yes,3,3,3,4,2.61444,1.66286,4.27729,0.54544,,0,1,0,0,0,0
AHC MILLENIUM,AL,35806,For profit - Corporation,91,83,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,4,1.90996,1.56686,3.47682,0.40166,2,0,0,0,0,0,0
GALLERIA WOODS SKILLED NURSING FACILITY,AL,35244,For profit - Corporation,30,27.3,Medicare,N,Y,,N,N,Resident,Yes,2,1,5,5,2.52149,2.06382,4.58531,0.42112,0,0,0,0,0,0,0
CHARLTON PLACE REHAB AND HEALTHCARE CENTER,AL,36022,For profit - Corporation,65,58.3,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,3,2,1.95093,1.48359,3.43452,0.38184,,2,2,1,0,0,0
LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,AL,35127,For profit - Corporation,189,130.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,,,,,,0,0,2,0,0,0
KNOLLWOOD HEALTHCARE,AL,36693,For profit - Limited Liability company,71,56,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,1,3,1,1,,,,,,0,1,0,9,1,10
"ASPIRE PHYSICAL RECOVERY CENTER AT HOOVER, LLC",AL,35226,For profit - Limited Liability company,118,91.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,2,5,3.63361,1.81578,5.44939,0.67364,,0,0,2,1,0,1
ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,AL,35476,For profit - Corporation,75,65.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,4,5,2.51212,2.19379,4.70591,0.74452,,0,0,0,0,0,0
TRUSSVILLE HEALTH & REHABILITATION CENTER,AL,35173,For profit - Corporation,125,79.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,5,1,2.04302,0.93923,2.98224,0.20854,1,0,1,2,2,0,2
ASPIRE PHYSICAL RECOVERY CENTER AT CAHABA RIVER,AL,35243,For profit - Corporation,120,103.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,1,3,5,3.73638,1.88853,5.62491,0.45385,,0,1,2,0,0,0
FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,AL,36108,Non profit - Church related,58,44.8,Medicaid,N,N,,N,N,None,Yes,1,1,3,1,3.05838,1.74937,4.80775,0.27599,,0,0,0,7,0,7
MONTGOMERY CHILDREN'S SPECIALTY CENTER,AL,36110,For profit - Corporation,54,39,Medicaid,N,N,,N,Y,None,Yes,2,1,5,3,1.83818,1.48643,3.32461,0.46093,3,0,1,0,1,0,1
KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,AK,99901,Non profit - Church related,29,16.8,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,3,2,2,5,5.21824,4.18163,9.39987,3.30993,,2,0,1,2,0,2
WRANGELL MEDICAL CENTER LTC,AK,99929,Non profit - Corporation,14,13.4,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,3,2,5,4,7.4872,3.75543,11.24263,1.66268,0,9,0,2,1,0,1
PROVIDENCE TRANSITIONAL CARE CENTER,AK,99504,For profit - Corporation,50,44.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,4,5,3.24632,3.24192,6.48824,1.86712,,1,3,1,1,0,1
PETERSBURG MEDICAL CENTER LTC,AK,99833,Government - City/county,15,12,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,5,5,3,5,6.15208,2.45725,8.60933,1.33419,0,0,0,0,0,0,0
DENALI CENTER,AK,99701,Non profit - Corporation,90,67.3,Medicare and Medicaid,Y,N,,N,N,Both,Yes,5,3,5,5,3.67077,2.66218,6.33295,1.44418,,0,0,1,1,0,1
HERITAGE PLACE,AK,99669,Non profit - Corporation,60,49.6,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,4,2,5,5,4.31365,1.88846,6.20211,1.22021,,4,1,0,0,0,0
PROVIDENCE SEWARD MOUNTAIN HAVEN,AK,99664,Government - City,40,36.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,3.69931,2.50928,6.20859,0.92474,,5,1,3,1,0,1
PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,AK,99504,For profit - Corporation,102,94.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,3,5,3.546,1.72215,5.26816,0.66106,,27,3,2,2,1,3
QUYANNA CARE CENTER,AK,99762,Non profit - Corporation,18,17.2,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,4,3,5,,,,,,,0,0,0,2,0,2
WILDFLOWER COURT,AK,99801,Non profit - Corporation,57,47,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,4,3.27928,1.42471,4.70399,0.84513,0,6,1,2,3,0,3
CORDOVA COMMUNITY MED LTC,AK,99574,Government - City,10,10,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,5,4,5,5,4.33614,3.22527,7.56141,1.59615,,0,0,0,4,0,4
PROVIDENCE KODIAK ISLAND MED LTC,AK,99615,Non profit - Corporation,22,20.6,Medicare and Medicaid,Y,N,,N,N,Both,Yes,3,4,4,1,4.6015,1.56573,6.16723,0.77544,,0,0,1,2,0,2
SOUTH PENINSULA HOSPITAL LTC,AK,99603,Non profit - Corporation,28,22.2,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,5,3,5,5,4.10494,3.04733,7.15227,1.76823,1,3,0,1,1,0,1
SEARHC SITKA LONG TERM CARE,AK,99835,Non profit - Corporation,19,15.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,4,5,4.73854,3.41657,8.15511,2.20493,0,0,0,0,0,0,0
PROVIDENCE VALDEZ MEDICAL CENTER,AK,99686,Government - City,10,10,Medicare and Medicaid,Y,N,,N,N,Both,Yes,5,5,5,4,4.74941,2.82491,7.57433,2.28642,,0,0,1,1,0,1
